0 0 0 8
1 0 2 8
2 0 3 6
3 0 1 10
4 1 5 5
5 0 5 7
6 1 9 10
7 0 14 15
8 4 4 7
9 2 7 12
10 3 11 16
11 8 8 11
12 10 22 18
13 7 17 18
14 5 15 20
15 6 17 25
16 13 19 23
17 12 20 36
18 19 37 25
19 29 19 34
20 11 42 43
21 14 49 44
22 17 45 62
23 18 51 53
24 27 80 63
25 34 60 76
26 38 77 72
27 28 77 79
28 35 68 81
29 35 90 93
30 49 88 80
31 53 87 85
32 52 107 106
33 62 132 101
34 85 85 104
35 77 96 102
36 77 89 130
37 78 95 131
38 89 128 147
39 99 133 167
40 109 125 152
41 108 145 193
42 134 158 169
43 135 141 201
44 127 162 222
45 165 170 217
46 148 210 199
47 147 221 235
48 160 202 264
49 160 227 245
50 169 226 257
51 192 243 280
52 201 253 310
53 220 279 304
54 248 250 328
55 255 295 297
56 269 287 331
57 284 291 338
58 271 330 357
59 306 335 355
60 336 324 397
61 349 328 382
62 351 349 415
63 381 415 430
64 367 371 423
65 412 433 479
66 438 387 474
67 432 407 460
68 446 451 492
69 454 425 496
70 411 439 515
71 476 421 522
72 483 488 566
73 475 436 523
74 475 475 532
75 484 483 576
76 502 484 620
77 530 466 571
78 542 473 566
79 508 510 566
80 533 505 612
81 494 519 613
82 524 509 555
83 543 503 551
84 561 487 548
85 556 476 518
86 504 564 523
87 492 511 518
88 465 519 512
89 493 496 495
90 499 467 485
91 465 485 459
92 492 490 443
93 447 480 446
94 449 1509 425
95 448 698 395
96 455 890 394
97 374 1068 379
98 436 2735 1076
99 426 4238 1871
100 761 1714 1883
101 1198 1144 2001
102 1012 1234 1739
103 1285 1149 1569
104 817 2196 798
105 796 1061 1075
106 612 1652 1195
107 855 2050 893
108 564 505 935
109 651 527 573
110 649 472 693
111 560 481 572
112 533 379 588
113 421 326 596
114 459 350 691
115 417 337 673
116 359 330 634
117 408 311 609
118 392 336 459
119 354 324 424
120 344 312 386
121 364 275 320
122 307 271 312
123 320 277 267
124 318 276 238
125 321 258 250
126 323 272 271
127 302 271 252
128 314 305 227
129 326 253 225
130 301 235 218
131 314 238 198
132 343 253 216
133 321 234 215
134 308 226 218
135 338 246 182
136 305 215 210
137 307 217 254
138 329 213 343
139 327 221 1824
140 579 244 3638
141 1039 270 2423
142 1654 647 2400
143 1627 1191 3535
144 2988 1134 3285
145 2131 1256 1200
146 1069 1061 695
147 1245 946 603
148 887 1065 763
149 1207 1009 1041
150 1282 632 288
151 1128 419 233
152 1048 289 213
153 715 273 175
154 624 236 176
155 553 205 172
156 567 185 146
157 353 207 170
158 322 168 132
159 282 141 116
160 219 123 125
161 157 129 121
162 133 118 123
163 129 112 114
164 122 93 110
165 99 92 116
166 85 115 116
167 89 98 99
168 78 113 106
169 73 97 80
170 103 72 83
171 76 84 90
172 68 84 83
173 83 75 90
174 66 71 106
175 67 77 91
176 76 71 104
177 71 73 80
178 55 82 72
179 65 63 75
180 72 68 92
181 62 58 72
182 50 59 74
183 47 57 87
184 50 52 76
185 43 67 71
186 55 51 82
187 55 54 79
188 49 45 73
189 52 46 76
190 63 49 76
191 65 55 100
192 51 51 69
193 65 61 74
194 64 52 90
195 65 47 112
196 66 50 92
197 80 51 79
198 85 68 86
199 93 55 87
200 91 59 82
201 114 70 75
202 112 57 63
203 102 55 78
204 94 65 78
205 123 58 95
206 100 69 95
207 114 67 103
208 141 79 104
209 143 71 102
210 227 76 117
211 435 63 104
212 482 74 112
213 498 76 109
214 805 71 111
215 961 74 125
216 488 77 147
217 828 85 137
218 3386 226 176
219 5129 1563 184
220 1767 1651 200
221 418 1061 206
222 64 995 309
223 129 668 322
224 607 573 568
225 981 898 779
226 460 1974 567
227 740 2239 595
228 275 1847 713
229 115 1377 849
230 118 763 412
231 43 472 256
232 18 148 46
233 9 74 17
234 6 42 10
235 1 28 10
236 3 10 2
237 5 12 3
238 9 7 6
239 2 11 1
240 1 3 2
241 2 2 3
242 1 2 1
243 0 3 1
244 2 1 1
245 1 4 0
246 1 3 2
247 3 3 0
248 0 2 0
249 0 1 3
250 1 1 0
251 0 1 0
252 1 0 0
253 0 1 0
254 1 0 0
255 0 0 0
